dataset,DouBanDatasets_RedundancyCut/Douban_202t_932w
ALPHA,0.1
G_Size,5
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.01484675336026981
3.8,0.0
3.9,0.005494758707626206
4.0,0.027559938555709543
4.1,0.027794597498955152
4.2,0.19658042803350775
4.3,0.0
4.4,1.044301701911079e-12
4.5,0.3777398089362578
4.6,0.0
4.7,0.2798255181887019
4.8,0.07015819671792009
4.9,0.0
5.0,0.0
