task_id,truth
0,4.1
10,4.5
11,2.9
24,4.0
31,3.8
47,3.5
70,4.2
102,4.4
109,4.8
123,3.2
156,3.0
39,3.9
96,3.8
135,3.0
201,3.3
2,4.1
3,3.8
4,3.2
16,3.9
21,2.2
37,3.3
1,4.2
6,4.8
28,4.8
38,4.2
43,3.9
51,4.0
74,3.5
79,3.2
92,3.9
115,4.1
141,4.3
151,5.0
157,4.0
169,4.8
193,4.7
5,3.0
7,4.8
8,3.7
12,3.4
14,4.8
15,3.8
19,3.2
22,4.3
29,4.4
35,4.0
49,4.4
55,2.8
63,4.2
67,4.4
88,3.7
97,3.5
98,2.2
99,3.7
103,4.0
116,3.6
117,3.6
119,2.9
133,4.0
137,2.8
150,4.2
171,4.7
187,4.7
80,3.2
112,4.0
13,2.8
33,4.1
44,4.0
58,2.7
61,4.2
121,2.9
41,3.0
53,3.6
72,3.5
91,3.4
124,3.5
168,4.2
83,3.1
26,3.2
36,3.8
42,4.0
71,3.8
94,3.9
128,4.7
164,5.0
189,4.0
17,3.8
20,2.9
45,4.6
50,2.8
52,3.3
54,3.5
65,4.3
76,3.9
100,4.5
105,3.8
125,3.5
126,4.9
147,4.5
179,4.3
185,3.6
191,2.2
197,2.9
23,3.8
46,3.6
57,3.3
78,2.6
85,4.7
87,4.7
89,4.3
90,3.4
101,3.5
106,2.8
107,2.8
138,4.0
163,3.2
166,2.6
177,3.5
180,4.3
181,3.2
186,3.1
195,3.4
139,4.2
140,3.9
174,3.8
160,4.2
25,4.2
111,3.5
81,4.1
66,3.1
114,4.6
84,3.9
9,3.7
18,5.0
108,3.8
144,4.7
145,4.0
149,3.6
152,3.0
154,2.8
162,3.9
167,3.7
192,3.5
62,3.9
59,3.1
69,1.5
110,3.0
142,3.8
146,3.9
184,4.5
190,3.6
68,3.3
73,4.8
27,4.7
32,4.8
75,4.8
170,3.2
176,3.3
30,3.1
48,4.5
60,4.5
136,4.0
182,3.2
40,4.3
161,4.0
77,4.1
118,4.0
93,3.2
122,1.4
127,4.3
188,4.4
200,2.8
56,4.5
131,4.8
158,4.5
95,3.9
196,3.2
82,4.0
113,3.4
165,3.6
120,4.0
132,4.4
134,3.9
143,3.0
159,2.1
173,4.9
34,3.5
153,3.5
199,3.8
64,4.2
86,3.1
155,4.2
178,3.2
194,3.1
198,2.6
175,4.5
172,2.5
104,4.0
130,2.3
148,4.7
129,2.4
183,3.1
