dataset,DouBanDatasets_SWTest/Douban_7271w
ALPHA,0.1
G_Size,5
Iteration Count,19
k_value,phi_k
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.004950495049397118
4.0,1.0783216935655472e-13
4.1,0.004950487611684608
4.2,0.03928614833787899
4.3,0.26758608193208533
4.4,0.3019768168394631
4.5,0.29709761929394307
4.6,0.07920185588593062
4.7,0.004950495049507011
4.8,0.0
4.9,0.0
5.0,0.0
