dataset,GoodReadsDatasets/GoodReads_309t_120415w
ALPHA,0.1
G_Size,5
Iteration Count,11
task_id,prediction_label
0,3.7
3,3.9
7,3.6
14,3.9
20,4.4
21,4.2
25,4.1
40,4.2
41,3.9
44,3.9
60,4.3
66,4.2
70,3.9
100,4.0
194,4.3
199,4.5
270,3.9
272,3.7
293,4.3
294,3.9
297,3.9
298,3.7
4,3.9
9,3.8
15,4.0
49,3.7
61,4.3
62,3.8
71,4.2
83,3.7
85,3.4
88,4.0
92,4.3
115,3.9
296,4.2
6,3.9
8,3.6
11,4.0
12,4.0
24,4.1
31,4.1
32,4.1
89,4.5
118,3.9
135,4.2
138,4.6
231,4.4
238,4.5
302,4.0
305,4.2
5,4.2
16,3.7
17,4.1
18,3.9
19,3.7
30,4.3
39,4.2
42,3.7
45,4.4
54,4.2
63,4.0
67,3.7
91,3.9
93,3.7
94,3.7
95,4.2
96,3.9
97,3.6
98,3.8
101,4.0
102,3.9
103,3.9
106,4.099943305564086
107,3.7
108,3.9
109,3.7
114,4.0
236,4.0
239,3.8
242,3.8
249,4.1
251,3.9
261,4.1
295,4.6
299,4.3
301,4.1
308,3.9
27,4.2
153,3.700000000000011
154,4.509240237425109
212,4.0
13,4.2
23,4.4
211,4.2
246,3.6
254,3.7
258,4.1
267,3.6
268,3.8
300,4.3
77,3.6
34,3.8
46,4.3
73,4.0
74,3.8
152,4.2
26,4.5
28,4.3
36,3.7
37,4.3
38,4.1
50,4.1
90,3.6999999999999984
113,4.0
134,4.3
140,4.2
142,4.6
143,4.0
156,3.0
157,4.4
158,4.7
159,3.9
160,4.5
163,4.3
165,4.1
166,4.2
167,4.0
170,4.2
217,4.1
222,4.5
232,4.0
233,4.1
303,4.5
304,4.2
306,4.3
307,4.1
10,4.3
1,3.4
161,4.400000037342938
33,4.0
48,4.0
52,3.8
56,4.2
57,4.0
69,4.0
116,3.9
171,4.2
192,4.3
218,4.3
120,3.7003928638574424
105,4.0
127,3.9
129,4.1
234,3.8
237,4.1
245,4.4
111,4.0
43,2.9
51,4.1
58,4.0
59,3.8
64,3.9
65,4.0
75,4.0
112,3.6
193,4.3
240,4.7
244,4.7
256,3.6
257,4.6
260,4.4
262,3.9
263,3.9
264,3.9
269,3.9
271,3.6
29,4.0
180,3.8
224,4.399999990872772
133,3.8000065974613557
181,4.0
2,4.5
110,3.7
277,4.2
290,4.1
78,3.8
47,4.4
121,3.7000000000001356
278,4.2
86,4.2
252,4.3
191,4.7
196,4.5
197,4.4
208,4.0
213,3.8
214,3.9
221,4.0
235,4.3
250,4.1
265,4.3
287,4.499999999490805
259,3.9
81,3.9
273,4.2
55,4.1
68,4.4
202,3.7
275,4.4
79,3.7
266,4.4
289,4.299945697744672
168,4.0
200,4.399930211228313
169,4.2
141,4.1
285,4.3
87,4.2
243,4.4
247,4.1
248,4.2
253,4.0
132,3.7000000000048208
53,3.8
117,4.199999999986559
137,4.3
255,4.3
119,4.1
146,3.9
80,4.2
144,4.3999999999233195
173,4.5
35,4.2
280,4.2
176,4.0
145,4.0
147,4.3
175,4.5
183,4.4
22,3.8
155,3.1
104,3.7
76,4.2
198,4.3
292,3.9
84,3.8
123,3.8
195,4.3
72,4.3
82,3.499999999999962
136,3.9
150,4.2
151,3.9
204,4.3
122,4.1
203,4.0
216,4.0
139,4.4
172,3.3
174,4.2
186,3.5
178,4.0
207,4.3
283,4.0
206,4.1
205,4.0
99,4.0
201,4.0
209,4.3
187,3.9
124,4.1
210,4.4
288,4.3
162,4.399999999999998
291,3.9
276,4.3
220,3.8
279,4.2
126,4.1
282,4.6
182,3.8
274,4.1
241,4.1
284,4.2
185,4.500000000479027
219,4.2
190,4.299999950005011
286,4.499999875362293
188,4.29999999950064
149,3.7
179,3.6000000000004846
189,4.2
125,3.9
130,3.6
164,3.7
281,4.2
131,3.4999999999999023
225,4.499999999999626
227,4.499999998491074
228,3.6000869490744
229,3.9
177,3.6
215,4.2
184,4.2
128,4.199999999884945
223,3.799999744272001
226,4.399796261797277
148,3.700000000606347
230,4.299632239251738
